Designing Autonomy: Opportunities for New Wildness in the Anthropocene,"Cantrell, Bradley; Martin, Laura J.; Ellis, Erie C.",2017
FUSING SHALLOW AND DEEP LEARNING FOR BIOACOUSTIC BIRD SPECIES CLASSIFICATION,"Salamon, Justin; Bellol, Juan Pablo; Farnsworth, Andrew; Kelling, Steve",2017
